@relation 'all_train-weka.filters.unsupervised.attribute.Remove-R1,502-515,517-519-weka.filters.unsupervised.attribute.Remove-R502-weka.filters.unsupervised.attribute.NumericTransform-R1-500-Cjava.lang.Math-Mlog-weka.filters.unsupervised.attribute.Remove-V-R21,360,4,51,283,461,76,479,201,312,77,343,483,263,485,356,74,398,274,217,214,282,134,286,25,95,90,54,154,73,344,465,222,92,347,207,326,348,315,166,96,131,430,188,329,352,264,17,160,357,501'

@attribute dim21 numeric
@attribute dim360 numeric
@attribute dim4 numeric
@attribute dim51 numeric
@attribute dim283 numeric
@attribute dim461 numeric
@attribute dim76 numeric
@attribute dim479 numeric
@attribute dim201 numeric
@attribute dim312 numeric
@attribute dim77 numeric
@attribute dim343 numeric
@attribute dim483 numeric
@attribute dim263 numeric
@attribute dim485 numeric
@attribute dim356 numeric
@attribute dim74 numeric
@attribute dim398 numeric
@attribute dim274 numeric
@attribute dim217 numeric
@attribute dim214 numeric
@attribute dim282 numeric
@attribute dim134 numeric
@attribute dim286 numeric
@attribute dim25 numeric
@attribute dim95 numeric
@attribute dim90 numeric
@attribute dim54 numeric
@attribute dim154 numeric
@attribute dim73 numeric
@attribute dim344 numeric
@attribute dim465 numeric
@attribute dim222 numeric
@attribute dim92 numeric
@attribute dim347 numeric
@attribute dim207 numeric
@attribute dim326 numeric
@attribute dim348 numeric
@attribute dim315 numeric
@attribute dim166 numeric
@attribute dim96 numeric
@attribute dim131 numeric
@attribute dim430 numeric
@attribute dim188 numeric
@attribute dim329 numeric
@attribute dim352 numeric
@attribute dim264 numeric
@attribute dim17 numeric
@attribute dim160 numeric
@attribute dim357 numeric
@attribute is_person {0,1}

@data
-5.279496,-6.378304,-6.378304,-5.279496,-6.041495,-6.195786,-7.294889,-7.294889,?,-6.041495,-6.195786,-7.294889,-5.790321,-6.195786,-5.502639,-5.348559,-6.888934,-7.294889,-5.214896,-5.58974,-7.294889,-5.684863,-5.502639,-6.601006,-6.601006,-5.908227,-7.294889,-7.294889,-5.908227,-5.790321,-6.601006,-7.294889,-7.294889,-5.58974,-6.888934,-6.041495,-6.195786,-6.888934,-5.58974,-5.684863,-6.601006,-6.378304,-6.041495,-6.041495,-5.908227,-6.888934,-5.790321,-5.214896,-5.908227,-5.684863,0
-5.365098,-6.376539,-5.683686,-6.153513,-5.97127,-5.97127,-5.817175,-7.763421,-5.124028,-5.683686,-6.664025,-7.070274,-6.153513,-6.664025,-5.365098,-5.97127,-5.97127,-5.565674,-5.565674,-5.683686,-7.763421,-6.153513,-5.97127,-5.97127,-6.664025,-5.683686,-6.664025,-5.683686,-5.365098,-6.376539,-5.124028,-5.683686,-5.97127,-7.763421,-6.664025,-6.664025,-6.153513,-6.664025,-5.817175,-6.664025,-5.683686,-6.153513,-5.365098,-5.97127,-5.565674,-5.365098,-6.153513,-5.817175,-7.763421,-5.683686,0
-5.290349,-5.452868,-5.983496,-6.340171,-6.340171,-6.340171,-6.088857,-5.452868,-8.286081,-6.494322,-5.888186,-6.899787,-5.801175,-5.801175,-6.494322,-4.175143,-6.494322,-6.20664,-4.789454,-6.340171,-6.340171,-6.676644,-6.494322,-6.20664,-5.721132,-5.801175,-8.286081,-8.286081,-6.340171,-6.340171,-5.578031,?,-6.676644,-4.990245,?,-6.340171,-8.286081,-5.983496,-5.983496,-6.494322,-5.888186,-7.187469,-6.340171,-5.983496,-6.899787,-7.592934,-8.286081,-8.286081,-6.676644,-6.20664,0
?,-5.684863,-6.601006,-7.294889,?,-6.888934,-6.195786,-6.888934,-4.137356,-6.378304,-6.888934,-6.888934,-6.195786,-6.195786,-5.684863,-6.888934,-5.684863,-5.684863,-7.294889,-6.888934,-5.684863,-5.908227,-7.986565,-6.378304,-6.195786,-6.888934,-6.041495,?,-6.041495,-6.888934,-6.195786,-5.58974,-6.195786,-6.888934,-6.195786,-6.041495,-7.294889,-6.041495,-6.888934,-6.601006,-6.041495,-6.888934,-5.908227,-5.348559,-6.888934,-6.888934,-5.790321,-6.888934,-5.279496,?,0
-6.888934,-7.986565,-6.041495,-6.888934,-6.601006,?,-7.986565,-7.294889,-4.691709,-7.294889,-7.986565,?,-7.294889,?,-7.294889,-6.888934,?,-6.888934,-6.601006,-7.294889,?,-7.294889,?,-7.986565,-7.986565,-6.601006,?,-6.195786,-6.888934,?,-7.986565,-4.852094,-6.041495,?,-6.888934,-5.790321,-6.378304,-7.986565,-6.888934,?,-6.888934,-6.888934,-6.601006,?,-6.601006,?,-6.888934,-6.888934,-6.601006,-6.195786,0
-5.422521,-5.348559,-5.790321,-7.294889,-6.888934,-5.790321,-6.195786,-5.908227,-5.502639,-6.195786,-5.908227,-5.908227,-5.908227,-5.422521,-6.378304,-5.097174,-5.790321,-6.195786,-5.15439,-6.888934,-6.378304,-5.15439,-7.986565,-5.908227,-5.908227,-5.908227,-6.195786,-5.908227,-5.348559,-5.908227,-5.908227,-7.294889,-7.294889,-5.043055,-5.908227,-6.888934,-6.888934,-5.790321,-6.195786,-6.601006,-6.041495,-6.378304,-5.502639,-6.378304,-6.601006,-5.348559,-6.601006,-5.790321,-5.790321,-7.294889,0
-7.294889,-7.986565,-6.888934,-7.986565,-6.378304,-6.888934,-6.888934,-7.294889,-4.461156,-5.684863,-7.986565,-7.294889,-7.986565,-6.888934,-6.601006,?,-5.908227,-6.888934,-7.986565,-7.986565,-6.888934,?,-7.986565,-7.986565,-5.908227,-6.601006,-6.601006,-6.601006,-6.041495,-6.195786,-6.888934,-5.214896,-6.601006,?,-5.422521,-5.58974,-6.041495,-6.888934,-5.908227,-5.15439,-6.888934,-7.986565,-6.378304,-5.422521,-7.986565,-6.888934,-6.378304,-7.294889,-6.601006,-5.790321,0
-7.294889,-6.378304,-7.986565,-5.422521,-6.195786,?,-6.601006,-7.986565,-6.378304,-7.294889,-6.195786,-7.986565,-6.888934,-7.986565,-7.294889,?,-6.378304,-6.378304,-6.378304,-6.378304,-6.378304,-5.908227,-6.888934,-7.986565,-6.378304,-5.908227,-5.502639,-6.041495,?,?,-6.888934,-5.422521,-6.041495,-6.888934,-6.041495,-6.888934,-7.294889,-6.888934,-6.888934,-6.888934,-7.294889,-6.195786,-5.908227,-7.294889,-6.888934,-7.986565,-5.502639,-6.601006,-5.348559,-6.378304,0
-6.888934,-7.986565,-6.601006,-6.888934,-7.294889,-7.294889,-7.986565,?,-6.888934,-7.986565,-7.986565,-6.195786,-5.684863,-6.888934,-6.888934,-7.986565,?,-7.986565,?,-7.294889,-7.986565,-6.041495,-5.684863,-7.986565,?,-6.601006,?,-6.378304,-5.58974,-5.790321,-6.601006,?,-6.888934,-7.294889,?,-6.195786,-5.502639,-7.986565,-6.378304,-5.684863,-5.58974,-7.294889,-7.986565,-5.684863,-6.601006,-5.502639,-6.888934,-6.041495,-6.601006,-6.601006,0
-5.58974,-6.601006,-6.041495,-5.214896,-5.790321,-6.378304,-5.908227,-6.601006,-4.461156,-6.601006,-6.378304,-7.294889,-7.294889,-7.986565,-6.601006,-5.908227,-6.195786,-6.195786,-5.279496,-5.908227,-7.986565,-6.601006,-6.378304,-6.378304,-7.294889,-5.502639,-6.888934,-6.601006,-6.041495,-6.888934,-6.888934,-5.58974,-5.422521,-5.908227,-5.790321,-5.908227,-5.502639,-7.294889,-6.601006,-6.041495,-6.378304,-7.294889,-6.195786,-6.195786,-7.294889,-5.908227,-5.422521,-5.790321,-6.888934,-5.908227,1
-6.798004,-6.287179,-6.798004,-6.510322,?,?,-7.896617,-7.20347,-3.753397,-7.896617,-6.287179,-6.510322,-6.287179,-7.896617,-6.798004,-6.510322,-7.20347,?,?,?,-7.20347,-5.817175,-6.287179,-6.510322,?,-7.896617,-7.896617,-7.20347,-6.287179,?,?,-4.952178,-7.20347,-7.896617,-7.20347,?,-6.798004,-7.20347,-6.510322,?,-6.510322,-6.510322,-7.896617,?,-6.510322,-6.798004,-7.896617,-6.287179,-7.20347,-6.104857,0
-5.640526,-6.557098,-5.640526,-5.863599,-6.333392,-7.943393,-7.250246,-7.943393,-4.684971,-6.557098,-7.943393,-7.250246,-6.333392,?,?,-6.84478,-6.557098,-6.333392,-6.84478,-6.557098,-7.943393,?,-7.943393,-7.943393,-7.943393,-5.99708,-6.151164,-6.84478,-7.943393,-6.333392,-7.943393,-5.863599,-5.745855,-6.557098,-6.333392,-7.250246,-6.151164,?,-6.557098,-4.509042,-6.557098,-7.250246,-6.333392,-4.998657,?,-6.84478,-7.250246,-5.99708,-6.333392,-6.557098,0
-6.888934,-6.888934,-5.908227,?,-6.888934,?,?,-7.294889,-7.294889,-6.378304,-6.888934,-6.378304,-7.294889,-7.294889,-6.195786,-6.601006,-7.294889,-6.888934,-7.294889,-7.294889,?,-6.888934,-6.195786,-7.294889,-7.294889,-7.986565,-7.294889,-6.888934,-6.601006,-6.601006,-6.195786,-7.986565,-7.294889,-7.294889,-6.601006,-6.195786,-6.378304,-6.041495,-6.888934,-7.986565,-7.294889,-6.195786,-7.986565,-7.986565,-6.888934,-6.601006,-7.294889,-6.378304,-5.502639,-7.986565,0
-6.378304,-6.888934,-5.908227,-7.986565,-6.378304,-6.888934,-7.986565,-6.888934,-4.298642,-6.195786,-7.986565,-6.378304,-6.378304,-6.888934,-5.58974,-7.294889,-6.601006,-7.294889,-7.294889,-5.502639,-6.888934,-6.601006,-6.195786,-7.294889,-7.986565,-6.041495,-7.986565,-7.294889,-5.097174,-6.378304,-6.195786,-4.553527,-6.601006,?,-6.888934,-6.601006,?,-6.601006,-5.908227,-7.294889,-5.502639,-6.195786,-5.908227,-5.908227,-7.294889,-5.908227,-6.378304,?,-5.502639,-7.294889,0
-6.601006,-6.888934,-6.888934,-6.378304,-5.908227,-6.195786,-6.601006,-7.294889,-5.908227,-6.888934,-6.888934,-6.378304,-6.601006,-6.601006,-6.378304,-6.195786,-6.601006,-6.378304,-5.908227,-6.888934,-7.294889,-6.041495,-6.888934,?,-6.888934,-7.294889,-6.378304,-6.601006,-6.601006,-6.601006,-7.294889,-7.986565,-7.986565,?,-6.378304,-6.041495,-6.601006,-6.888934,-6.195786,-6.888934,-7.294889,?,-5.908227,?,-7.294889,-7.294889,-6.601006,-6.195786,-6.888934,-6.041495,1
-6.041495,?,-6.378304,-5.422521,-6.888934,-7.294889,-6.601006,-7.986565,-3.697073,-7.294889,-6.601006,?,-7.294889,?,-7.986565,-5.422521,-6.378304,-6.378304,-6.601006,-6.888934,-7.986565,-6.195786,-6.888934,-7.986565,-6.888934,-6.601006,?,-6.601006,-7.294889,-6.195786,-6.601006,-4.095705,-5.790321,-6.601006,-6.888934,-6.601006,-7.986565,-7.986565,-6.041495,-5.502639,-7.294889,-6.378304,?,-5.684863,-6.378304,-6.601006,-7.294889,-6.601006,-6.041495,-7.294889,0
-5.58974,-5.58974,-6.041495,-6.041495,-6.378304,-7.986565,-5.908227,-6.888934,-5.422521,-6.195786,-7.294889,-7.986565,-7.986565,-5.908227,?,-6.378304,-5.790321,-5.279496,-6.378304,-6.888934,-6.888934,-6.041495,-7.986565,-7.294889,-6.888934,-6.195786,-5.58974,-6.378304,-6.601006,-7.294889,-7.986565,-6.378304,-4.896459,-6.888934,-6.378304,-5.58974,-7.294889,-7.986565,-5.043055,-4.809492,-6.041495,?,-6.041495,-5.790321,-7.294889,?,-5.908227,-5.422521,-6.378304,-6.041495,1
-6.697494,-6.697494,-6.697494,-7.796917,-7.10377,-6.697494,-7.796917,-7.10377,?,-6.697494,-7.796917,-6.697494,?,-6.697494,-6.004752,?,-7.10377,?,?,-7.10377,-7.10377,-7.796917,-6.697494,-7.10377,-7.796917,?,-7.10377,?,?,-6.697494,-6.186993,-7.796917,-7.10377,-7.796917,-7.10377,-6.410015,-7.796917,-6.410015,?,-5.85066,-7.796917,-6.410015,-7.10377,-7.796917,?,?,-7.796917,?,?,-6.697494,0
?,-6.195786,-6.378304,?,-7.294889,-6.378304,-6.888934,-6.378304,-3.630799,-6.601006,-7.294889,-6.888934,-7.986565,-6.601006,?,-7.986565,-6.378304,-6.601006,?,?,-6.888934,-7.986565,?,?,-6.041495,-7.986565,-5.908227,-7.986565,?,-7.986565,-6.601006,-4.461156,-6.888934,?,-5.790321,-6.041495,-6.378304,-6.195786,-7.986565,-5.279496,?,-6.601006,-6.601006,-5.214896,-6.601006,-7.294889,-6.888934,?,-6.888934,-7.986565,1
-6.104857,-6.510322,-5.498721,-5.498721,-5.594032,-5.950707,-6.510322,-6.104857,-4.805452,-5.817175,-5.817175,-7.20347,-6.287179,-7.20347,-6.510322,-7.20347,-6.798004,-6.798004,-7.20347,-6.510322,-7.896617,-6.510322,-7.20347,-6.510322,-7.20347,-6.510322,-6.510322,-6.798004,-5.950707,-6.287179,-7.20347,-6.798004,-5.41171,-7.896617,-5.817175,-5.950707,-5.950707,-7.896617,-5.817175,-6.510322,?,-6.510322,-5.699392,?,-6.510322,-5.950707,-5.950707,-6.798004,?,-6.104857,1
-5.006245,-6.287179,-5.950707,-5.41171,-5.950707,-6.798004,-6.510322,-5.594032,-3.926274,-7.20347,-6.287179,-6.104857,-6.104857,-6.287179,-6.510322,-5.331667,-6.287179,-7.20347,-5.188567,-5.950707,-6.287179,-6.104857,-5.699392,-5.950707,-6.510322,-6.798004,?,-6.104857,-5.950707,-5.594032,-5.950707,-4.25896,-6.287179,-6.287179,-6.798004,-7.20347,-6.287179,-5.950707,-5.950707,-6.510322,-6.798004,-6.798004,-6.104857,-5.699392,-7.20347,-6.798004,-6.510322,-5.817175,-7.20347,-5.257559,1
-5.768321,-6.461148,-6.461148,-6.055896,-6.461148,-5.90199,-5.90199,-7.154935,-5.362963,-5.650431,-6.055896,-6.055896,-5.90199,-6.749044,-6.749044,-7.846803,-7.154935,-6.238389,-5.90199,-7.846803,-7.846803,-7.846803,?,-7.846803,-6.749044,-6.749044,-6.749044,-6.238389,-5.650431,-6.461148,?,-7.846803,-6.749044,-7.846803,-5.650431,-6.238389,-7.846803,-7.846803,-7.154935,-6.749044,-6.749044,-7.154935,-7.154935,-6.055896,-7.154935,-7.846803,-7.154935,?,-5.362963,?,1
-5.545241,-5.768321,-6.749044,-5.90199,-6.749044,-5.768321,-6.461148,-5.362963,-5.282838,-6.055896,-6.055896,-5.90199,-7.154935,-5.768321,-6.055896,-5.362963,-5.90199,-6.238389,-5.449838,-6.238389,-6.238389,-5.90199,-6.238389,-5.650431,-5.208659,-6.461148,-6.238389,-6.055896,-6.055896,-6.055896,-5.90199,-7.154935,-7.846803,-6.055896,-7.846803,-6.749044,-6.238389,-6.238389,-5.90199,-6.055896,-6.238389,-5.768321,-6.055896,-7.154935,-7.154935,-6.749044,-6.749044,-7.154935,-6.238389,-5.650431,1
-6.378304,-7.294889,-7.986565,-7.294889,-7.294889,?,-6.378304,-7.986565,-6.378304,?,-6.888934,-5.348559,-6.601006,-6.888934,-6.041495,?,-7.294889,-7.986565,-7.986565,-6.888934,-6.195786,-6.888934,-5.908227,-6.601006,?,-6.601006,-6.601006,-6.601006,-6.378304,-6.195786,-6.888934,-6.888934,-7.986565,-7.986565,-6.601006,-7.986565,-6.041495,-6.888934,-7.294889,-5.908227,-6.195786,-6.378304,-6.888934,-5.684863,-6.378304,-5.422521,-6.601006,-6.888934,-7.986565,-5.58974,0
-7.294889,?,?,-7.294889,?,?,?,?,-3.876656,?,?,?,?,?,?,?,?,-7.986565,?,?,?,?,?,?,?,?,?,?,?,?,?,-3.893201,-6.195786,?,?,-7.294889,-7.986565,?,?,-4.376601,?,?,?,-4.491038,?,?,-7.986565,-7.294889,?,-7.986565,0
?,?,-7.154935,?,-7.154935,-6.461148,-6.238389,-7.154935,-5.545241,-7.846803,-6.461148,-6.461148,-6.461148,-7.154935,-6.055896,-6.749044,-6.749044,-6.749044,-7.846803,-6.461148,-6.461148,-6.461148,-7.846803,-6.461148,-7.154935,-7.154935,-6.749044,-5.768321,-7.154935,-7.154935,-6.461148,-7.154935,-7.846803,-6.749044,-5.768321,-5.90199,-6.749044,-6.461148,-6.238389,-5.768321,-5.768321,-6.238389,-6.461148,-5.362963,-6.749044,-7.846803,-7.846803,-7.154935,-5.768321,-5.545241,0
-6.676644,-6.899787,-6.899787,-6.340171,-5.888186,-5.888186,-6.676644,-6.494322,-6.899787,-6.899787,-5.983496,-7.592934,-6.494322,-6.088857,-5.888186,-5.39571,-6.20664,-5.721132,-6.088857,-6.899787,-6.899787,-6.494322,-6.899787,-6.676644,-6.20664,-5.983496,-7.592934,-6.494322,-7.187469,-7.187469,-6.088857,-8.286081,-6.494322,-5.801175,-6.676644,-5.888186,-6.494322,-7.592934,-5.647024,-6.676644,-6.340171,-6.340171,-5.801175,-6.494322,-5.983496,-5.888186,-6.088857,-6.676644,-8.286081,-5.888186,0
-6.378304,-7.294889,-5.790321,-6.041495,-5.908227,-6.378304,-6.601006,-7.986565,-5.790321,-6.041495,-7.294889,-6.888934,-5.58974,-6.601006,-6.378304,-5.58974,-6.195786,-7.294889,-6.601006,-6.601006,-6.601006,-6.601006,-6.601006,-6.195786,-6.601006,-6.195786,-6.888934,-5.58974,-5.502639,-6.378304,-7.294889,-6.601006,-6.378304,-6.041495,-6.601006,?,-6.378304,-7.294889,?,-6.601006,-7.294889,-6.888934,-6.378304,-7.294889,-6.195786,-5.684863,-6.195786,-5.908227,-6.601006,-6.888934,1
-4.966858,-7.910149,-7.218365,-5.27226,-6.812445,-7.910149,-6.525218,-7.910149,-3.229204,-6.301801,-6.812445,-5.965407,-7.218365,-6.812445,-6.812445,-4.445606,-7.910149,?,-5.27226,-6.525218,-6.812445,-7.910149,-6.301801,?,-6.812445,-6.525218,?,-7.218365,-7.218365,-7.218365,-6.119753,-3.868293,-5.513493,-6.119753,-7.218365,-6.119753,-6.525218,-7.910149,-7.218365,-4.820222,-7.218365,-6.525218,-6.812445,-4.866795,-7.218365,?,?,-5.27226,?,-6.301801,0
-7.20347,-7.896617,?,-6.798004,-6.798004,-7.896617,-7.896617,-6.798004,-3.117425,-6.287179,-6.798004,-7.20347,-7.896617,?,-6.798004,-7.896617,-7.896617,-7.20347,?,-6.104857,?,-7.896617,-7.896617,-7.20347,?,-6.798004,-7.896617,-7.896617,-5.817175,-6.798004,?,-3.819034,-7.896617,-7.896617,-7.20347,-6.510322,-7.896617,-7.896617,-7.20347,-6.104857,-6.798004,-7.896617,-6.510322,?,-7.896617,-6.798004,-5.699392,-5.41171,-5.063403,-6.798004,0
-6.287179,-7.20347,-7.20347,-6.510322,-6.798004,-6.510322,-7.20347,?,-3.648045,-7.20347,?,-7.896617,-6.510322,-6.287179,?,-6.510322,-6.798004,-6.510322,-7.20347,-7.896617,-7.20347,-7.20347,?,?,-7.20347,?,-6.104857,?,?,?,?,-5.331667,-7.896617,-7.20347,-7.20347,?,?,-7.896617,?,?,-7.896617,-7.20347,-7.896617,?,-7.896617,?,-6.798004,?,-5.124028,?,0
-6.888934,-6.888934,-6.041495,-6.888934,-6.601006,-7.986565,-6.378304,-6.888934,-5.790321,?,?,-6.888934,-6.378304,-6.601006,-6.888934,-6.378304,-6.601006,-6.195786,?,-6.888934,-6.888934,-6.041495,-6.195786,?,-6.041495,-6.888934,-6.888934,-6.195786,-6.378304,-6.195786,-6.888934,-6.378304,-6.601006,-7.986565,-5.908227,?,-6.041495,-7.294889,-6.888934,-7.294889,-7.294889,-6.041495,-5.790321,-7.294889,-6.195786,-6.041495,-7.986565,-6.601006,-5.043055,-6.601006,0
-6.104857,-7.20347,-6.510322,-7.896617,-6.510322,-7.20347,-7.896617,-7.20347,-3.67703,-6.104857,-6.510322,-7.896617,?,-7.20347,?,-6.798004,-6.510322,-6.798004,-6.798004,-6.510322,-7.896617,-7.896617,-7.896617,-6.798004,-7.896617,-7.20347,?,-6.798004,-7.896617,-7.896617,-7.896617,-4.25896,-6.798004,-6.510322,-6.798004,-7.896617,-7.896617,-6.104857,-7.896617,-7.896617,-6.104857,-7.896617,-7.20347,?,?,-6.798004,-6.104857,-7.20347,-4.60068,-6.798004,0
?,?,-6.378304,-6.601006,-7.294889,-7.294889,-6.378304,-7.294889,-4.075484,-7.986565,-6.888934,?,-6.888934,-7.986565,-7.294889,-7.986565,-7.294889,-6.378304,?,-6.601006,-7.986565,-7.294889,-6.888934,-7.294889,-6.888934,-6.378304,-6.195786,-7.986565,-6.195786,-6.378304,-7.986565,-4.180883,-5.908227,?,-6.041495,-7.294889,-5.790321,-7.986565,-6.601006,-6.601006,-6.601006,-6.601006,-6.195786,-7.294889,-6.378304,?,-5.279496,-7.986565,-6.888934,-6.601006,1
